product_code;visited;add_to_cart;shipped
20745596941;502;62;5
13438096769;996;45;4
16080341124;122;13;5
12497823055;161;25;6
12538129493;303;32;4
19718088159;198;16;5
23617419332;115;40;6
7275428535;414;46;4
20067794966;160;24;6
16441948420;519;67;5
18659038685;106;27;6
18827470923;313;35;6
11165188616;161;15;6
18730607770;79;14;6
12138775114;1174;91;3
17347452106;220;33;5
16016111638;170;39;5
12738890128;383;44;5
23917626666;226;18;5
16239096067;210;12;4
21471257653;175;19;5
9705545817;441;30;4
19745599781;130;23;5
12838350176;218;19;4
23917623484;137;16;4
18127683979;229;46;5
12339185768;218;28;4
13137502407;428;34;3
15417890544;466;26;5
13039641046;178;19;4
13939159707;396;51;4
19657651807;259;24;2
22017423346;249;32;5
19171883887;995;30;5
21550194634;91;14;4
20643749973;293;28;5
21557692834;279;42;4
21930795482;221;27;5
17539085351;142;21;5
13739023932;422;38;5
17090982439;268;34;5
21915160867;215;13;4
10164250249;152;6;4
22717626059;261;33;2
20513853605;180;15;4
23117628663;166;12;4
23820252079;129;13;1
13537288571;195;16;4
13039029474;333;31;4
23809949191;327;31;3
13637491580;240;30;4
14530202419;213;8;3
18944422643;146;18;4
14862199926;268;17;4
16189015602;219;31;3
20718083311;135;10;4
10965015269;763;20;4
17627400193;143;18;4
16560166728;87;17;3
20937839581;183;28;4
21370960072;74;12;4
16882204041;128;22;4
12139188325;363;27;4
18937851575;98;13;3
13280330764;199;14;3
17588932713;273;31;2
17722534502;169;18;3
22815677725;1199;26;3
12036725449;679;6;3
17142588615;62;10;3
16917019580;187;21;3
12839070950;834;24;3
10364530272;212;13;3
14594328856;783;32;3
10565007160;485;35;3
13639183966;236;13;3
11665883371;393;15;2
10064591996;1427;20;3
14191036668;63;13;3
10788877653;123;14;3
17355550307;63;16;3
16146360526;130;27;3
11665510388;171;18;3
18551227120;209;23;3
16942762856;123;20;3
18343755689;451;47;2
12989823803;146;16;3
14866247700;99;6;3
10165516194;143;17;2
12436747777;329;11;2
22802239101;232;24;2
21846778401;137;5;2
15452305067;104;7;2
10260104082;1111;27;1
12037316673;244;15;2
13039085112;269;8;2
20770887970;204;19;2
20770888190;241;22;1
14478250181;91;15;2
16941432125;59;5;2
17112525448;107;3;2
19937833733;320;33;2
12538124173;372;33;2
13339103709;203;3;2
13538461513;10;0;1
16735982670;92;17;2
19416173525;79;8;1
18568545928;181;11;2
8758820546;617;18;2
14171633182;121;19;2
16488906020;210;26;2
17777739316;62;5;1
16302281023;195;12;2
9499224514;137;19;2
17082091058;260;24;2
17546195138;57;7;2
13936842703;486;18;1
14183539818;83;11;2
16360835355;237;30;1
11620447859;759;25;0
10264537645;273;7;1
19430516167;372;9;1
20672041757;255;24;1
18813855664;88;6;1
13736864450;125;1;1
15371386012;67;10;0
13336139271;84;6;1
12136929668;274;2;1
10765422470;393;3;1
16024658477;682;17;1
10164664998;113;17;1
15279031966;55;3;1
13636822088;453;5;1
23710407051;106;8;1
9095910142;200;3;1
14146370007;85;7;1
16706932319;123;17;1
21757661296;81;4;1
18070962307;96;15;1
19104902844;213;7;1
12586241038;131;12;1
12637287126;151;7;1
10964658853;165;9;1
15471651436;75;16;1
12737550874;370;7;0
13639157899;39;1;1
16541978901;104;11;1
11965139494;202;3;1
11465584081;260;9;1
23603626003;259;18;1
17221017234;129;1;1
12436893259;225;5;1
20415156443;139;9;1
13539184873;124;8;1
12936758678;162;5;0
12537260873;282;4;1
12338096759;145;5;1
16225336983;116;13;1
12136703949;91;1;1
20228701411;106;4;1
17981122946;179;16;1
4534717880;0;0;0
6804185661;0;0;0
9781485901;1;0;0
11406682825;3;0;0
3167062473;1;0;0
10465845636;0;0;0
20339857474;0;0;0
14047488587;3;0;0
6319382609;3;0;0
4254335218;1;0;0
7591187485;0;0;0
5334715278;0;0;0
9342394441;6;0;0
3404124008;0;0;0
6642390404;0;0;0
10011751181;3;0;0
15946280931;0;0;0
3304275896;0;0;0
12137266985;1;0;0
19846772425;304;10;0
3785331597;13;0;0
4316166846;4;0;0
3804261942;3;0;0
5804159764;0;0;0
4104018812;3;0;0
17788904891;493;7;0
16126084808;0;0;0
13838292131;1;0;0
4515238633;1;0;0
7319381794;0;0;0
2918387085;0;0;0
10018270000;3;0;0
9213737643;0;0;0
3167056569;0;0;0
4015239252;0;0;0
4604176928;3;0;0
13638440337;0;0;0
13436741005;0;0;0
8296051467;1;0;0
6316166914;1;0;0
6655801969;3;0;0
22603158894;0;0;0
10065109989;1;0;0
11164218952;0;0;0
12338448759;230;1;0
15882559447;112;13;0
6044933111;0;0;0
7180373891;0;0;0
4104166204;0;0;0
11565201324;0;0;0
10365090542;0;0;0
7417552431;1;0;0
5978425136;0;0;0
17812532926;58;0;0
7445259579;0;0;0
3149601366;0;0;0
4016163185;0;0;0
5716166538;1;0;0
10241790972;5;0;0
4034718479;5;0;0
16240356352;4;0;0
4904188099;1;0;0
8815276047;0;0;0
11480885033;318;3;0
13938303688;0;0;0
5988500612;0;0;0
5404178774;0;0;0
7804165309;0;0;0
12139049923;0;0;0
10165195282;0;0;0
7304178658;0;0;0
3604254826;0;0;0
3504256148;3;0;0
4158104220;0;0;0
17918553946;0;0;0
7252478089;14;0;0
6759650881;8;0;0
7619385891;0;0;0
7459650887;9;0;0
9013773775;0;0;0
13737539701;483;10;0
5479175744;0;0;0
5404184560;0;0;0
4915162367;4;0;0
3204346391;0;0;0
14719236521;93;0;0
4919383037;1;0;0
7519378797;3;0;0
14559657366;0;0;0
8215260862;0;0;0
9604988995;27;0;0
12306501482;61;0;0
7080121851;0;0;0
8415843472;0;0;0
12338427328;3;0;0
17117351333;0;0;0
13339605803;0;0;0
9384456424;0;0;0
11389086613;1;0;0
12439636044;0;0;0
6543207463;9;0;0
5144928208;0;0;0
3519485409;0;0;0
6744932368;1;0;0
12580415929;0;0;0
13139159069;257;5;0
10534516266;0;0;0
7143954887;1;0;0
11834508206;4;0;0
11285288249;0;0;0
7904148982;0;0;0
9715598429;0;0;0
7404188813;3;0;0
4104162695;0;0;0
6167295679;1;0;0
9371024287;5;0;0
18956176406;55;3;0
15246281367;0;0;0
7777626342;0;0;0
15126065597;0;0;0
10934537556;3;0;0
5316166358;0;0;0
6604149020;1;0;0
6019387209;1;0;0
5442195254;3;0;0
8615838162;0;0;0
3778502698;1;0;0
9153370215;0;0;0
5819392051;0;0;0
5019377220;1;0;0
11765093072;0;0;0
7904163567;0;0;0
6819375601;3;0;0
13739015471;110;11;0
12838843016;0;0;0
3853175901;14;0;0
11488915753;0;0;0
14761455665;201;8;0
9081487608;1;0;0
8977957350;5;0;0
4416157802;1;0;0
9415961127;0;0;0
17673410554;5;0;0
4940251559;4;0;0
11765402796;0;0;0
12002121927;5;0;0
17917347143;0;0;0
13338805483;0;0;0
4234715788;0;0;0
7479529357;0;0;0
15956587923;0;0;0
3053677655;7;0;0
4916163544;0;0;0
7043206787;6;0;0
4604162550;1;0;0
9615982989;1;0;0
3193809553;3;0;0
12838277155;0;0;0
12836684805;536;3;0
14387914141;0;0;0
12238278717;0;0;0
12539078950;0;0;0
6215234510;0;0;0
4404146314;3;0;0
5544934970;0;0;0
8239805246;9;0;0
6038724282;0;0;0
11964298036;0;0;0
12938444183;0;0;0
5346246595;8;0;0
5315083995;0;0;0
11522064672;1;0;0
3149608819;3;0;0
6916165462;0;0;0
13538791462;0;0;0
4934707523;0;0;0
8895879405;842;8;0
10432429108;8;0;0
15146281473;3;0;0
5534705861;0;0;0
11165592373;3;0;0
4163881773;0;0;0
5150615908;3;0;0
6304160506;3;0;0
20757632187;7;0;0
10064538256;0;0;0
7163886382;1;0;0
9815974405;0;0;0
14660279890;0;0;0
9115828818;0;0;0
4304160984;0;0;0
9704013300;6;0;0
4110340037;0;0;0
4004177719;1;0;0
13919693198;0;0;0
3604250676;0;0;0
6319387720;1;0;0
6979300116;1;0;0
13980685529;0;0;0
5370468492;8;0;0
13739032679;0;0;0
7004176193;5;0;0
5679533634;0;0;0
5719376403;0;0;0
5268968451;7;0;0
11402989812;1;0;0
7404165042;1;0;0
3716258268;0;0;0
5519315407;0;0;0
5043208877;5;0;0
8208434631;3;0;0
11085288227;0;0;0
6778426544;1;0;0
4204166461;0;0;0
15974339995;203;2;0
7080126313;3;0;0
9315992151;4;0;0
16806868718;3;0;0
10965128061;0;0;0
6919390963;0;0;0
4504020231;1;0;0
6119379075;0;0;0
13519699346;3;0;0
9115836898;0;0;0
7304153305;0;0;0
4143957049;3;0;0
6241079787;4;0;0
