sku_internal;varian;varian_kosong;stock;umur_stock;avg_daily_sales
APP100521;4;0;274;137;2
APP100522;4;0;185;185;1
APP100525;4;0;58;58;1
APP100526;4;0;191;191;1
APP100527;4;0;120;120;1
APP100528;4;0;44;22;2
APP100529;4;0;94;47;2
APP100530;4;0;72;72;1
APP100532;6;0;686;39;18
APP100533;6;0;270;54;5
APP100534;4;0;133;45;3
APP100535;4;0;145;145;1
APP100437;6;5;0;0;1
APP100436;6;4;17;0;0
APP100438;6;4;4770;217;22
APP100531;6;5;0;0;1
APP100450;6;5;0;0;0
APP100536;4;0;182;61;3
APP100537;4;0;214;214;1
APP100538;4;0;213;107;2
APP100539;4;0;140;70;2
APP100540;4;0;47;47;1
APP100541;4;0;16;8;2
APP100542;4;0;191;191;1
APP100543;6;0;374;38;10
APP100544;6;0;298;100;3
APP100545;6;0;245;49;5
APP100546;6;0;404;68;6
APP100547;6;0;274;92;3
APP100548;6;0;259;130;2
APP100549;4;0;370;185;2
APP100550;4;0;194;97;2
APP100551;6;0;223;56;4
APP100552;6;0;21;21;1
APP100553;6;0;129;43;3
APP100554;6;0;443;89;5
APP100555;6;0;202;51;4
APP100556;6;0;577;193;3
APP100557;6;0;232;78;3
APP100558;6;0;440;37;12
APP100559;6;0;190;190;1
APP100560;6;0;328;82;4
APP100561;6;0;889;45;20
APP100562;6;0;200;50;4
APP100563;6;0;420;70;6
APP100564;6;0;194;194;1
APP100565;4;0;63;32;2
APP100566;4;0;149;19;8
APP100570;6;0;268;90;3
APP100568;4;0;202;202;1
APP100569;4;0;154;154;1
APP100567;5;1;20;0;0
APP100571;6;0;248;62;4
APP100572;6;0;318;80;4
APP100573;6;0;335;168;2
APP100574;6;0;471;236;2
APP100575;6;0;477;120;4
APP100576;6;0;417;105;4
APP100577;6;0;344;39;9
APP100578;6;0;1305;55;24
APP100579;6;0;287;48;6
APP100580;6;0;143;72;2
APP100581;6;0;252;84;3
APP100582;6;0;548;61;9
APP100583;5;0;222;37;6
APP100584;6;0;316;22;15
APP100585;5;1;413;59;7
APP100586;6;0;567;41;14
APP100587;4;0;173;35;5
APP100588;6;0;1634;45;37
APP100589;6;0;619;52;12
APP100590;6;0;2757;29;96
APP100591;6;0;612;23;27
APP100592;6;0;840;42;20
APP100593;6;0;259;13;20
APP100594;6;0;410;82;5
APP100595;6;0;370;93;4
APP100596;6;0;707;48;15
APP100597;6;0;162;33;5
APP100598;4;0;244;41;6
APP100599;4;0;146;73;2
APP100600;4;0;264;264;1
APP100601;4;0;130;130;1
APP100602;4;0;364;364;1
APP100603;4;0;267;267;1
APP100604;4;0;150;150;1
APP100605;5;2;86;43;2
APP100606;5;0;133;133;1
APP100607;5;0;144;72;2
APP100608;5;0;140;140;1
APP100609;6;0;241;121;2
APP100610;6;0;299;75;4
APP100611;6;0;336;84;4
APP100612;6;0;273;31;9
APP100640;6;0;694;64;11
APP100613;6;0;255;128;2
APP100614;6;5;275;92;3
APP100615;6;6;296;74;4
APP100616;6;6;429;31;14
APP100617;6;0;424;43;10
APP100618;6;6;187;47;4
APP100619;5;6;220;55;4
APP100620;5;6;197;99;2
APP100621;5;1;145;145;1
APP100622;6;6;0;0;0
APP100623;6;6;0;0;0
APP100624;6;6;0;0;0
APP100625;6;6;192;96;2
APP100626;6;0;253;127;2
APP100627;6;6;235;235;1
APP100628;5;5;468;67;7
APP100629;6;1;409;52;8
APP100630;6;5;559;187;3
APP100631;5;4;208;104;2
APP100632;5;6;240;60;4
APP100633;5;6;220;110;2
APP100634;5;4;175;59;3
APP100635;5;5;155;39;4
APP100636;6;6;372;54;7
APP100637;6;6;275;138;2
APP100638;6;6;319;64;5
APP100639;6;0;264;33;8
APP100641;6;2;321;65;5
APP100642;6;2;445;89;5
APP100643;6;0;336;38;9
APP100644;6;0;897;41;22
APP100645;4;0;433;433;1
APP100646;4;0;172;172;1
APP100647;4;0;198;198;1
APP100648;4;0;172;172;1
APP100649;6;1;30;15;2
APP100650;6;0;100;50;2
APP100651;5;0;209;53;4
APP100652;5;1;198;40;5
APP100653;5;0;184;62;3
APP100654;5;0;174;174;1
APP100655;5;5;0;0;0
APP100656;5;0;182;182;1
APP100657;5;0;433;433;1
APP100658;5;0;351;351;1
APP100659;5;0;417;417;1
APP100660;5;0;443;0;0
APP100661;5;0;429;429;1
APP100662;5;0;418;418;1
APP100663;6;0;353;28;13
APP100664;6;1;64;32;2
APP100665;6;0;141;36;4
APP100666;6;0;221;221;1
APP100667;6;0;155;78;2
APP100668;6;0;162;41;4
APP100669;6;0;133;133;1
APP100670;6;0;152;76;2
APP100671;6;0;171;57;3
